species,Longitude,Latitude
Carya alba,-97.128889,33.096944
Carya alba,-81.540954,33.100534
Carya alba,-92.662465,33.107073
Carya alba,-95.091667,33.116667
Carya alba,-91.654379,33.118432
Carya alba,-93.177966,33.128518
Carya alba,-83.719038,33.138623
Carya alba,-92.19715,33.150108
Carya alba,-87.445852,33.155048
Carya alba,-79.7912,33.1707
Carya alba,-87.474623,33.189402
Carya alba,-94.032372,33.190231
Carya alba,-83.239537,33.194321
Carya alba,-81.638018,33.223731
Carya alba,-86.8104,33.2337
Carya alba,-83.684767,33.2516
Carya alba,-88.782591,33.270273
Carya alba,-87.4,33.28
Carya alba,-80.009942,33.305435
Carya alba,-81.8625,33.316389
Carya alba,-81.71464,33.31699
Carya alba,-83.757222,33.343168
Carya alba,-79.828151,33.34389
Carya alba,-81.651407,33.345547
Carya alba,-95.266813,33.35263
Carya alba,-81.519611,33.367537
Carya alba,-84.636878,33.373762
Carya alba,-79.242369,33.376823
Carya alba,-86.754466,33.393305
Carya alba,-93.288315,33.412258
Carya alba,-89.320171,33.43316
Carya alba,-86.776212,33.441183
Carya alba,-94.037688,33.441792
Carya alba,-88.81833,33.45028
Carya alba,-88.626815,33.451292
Carya alba,-84.359526,33.455877
Carya alba,-94.333673,33.463943
Carya alba,-88.764578,33.47136
Carya alba,-86.32352,33.476989
Carya alba,-88.540517,33.487829
Carya alba,-89.974634,33.488673
Carya alba,-94.043148,33.490582
Carya alba,-79.4599,33.4966
Carya alba,-85.25,33.5
Carya alba,-80.4708,33.509
Carya alba,-86.858108,33.513705
Carya alba,-86.68,33.53
Carya alba,-86.5802,33.533108
Carya alba,-91.680067,33.53661
Carya alba,-88.772728,33.550907
Carya alba,-94.760795,33.552256
Carya alba,-80.2438,33.5631
Carya alba,-85.112633,33.576763
Carya alba,-94.859112,33.577675
Carya alba,-80.5638,33.5982
Carya alba,-92.064583,33.612609
Carya alba,-86.858445,33.619145
Carya alba,-91.399564,33.628999
Carya alba,-85.799444,33.655833
Carya alba,-93.832684,33.66116
Carya alba,-81.794513,33.668567
Carya alba,-86.700299,33.697331
Carya alba,-89.689536,33.699265
Carya alba,-93.09875,33.700963
Carya alba,-80.5371,33.7021
Carya alba,-91.4529,33.71233
Carya alba,-93.843402,33.723826
Carya alba,-85.451081,33.733925
Carya alba,-95.083333,33.75
Carya alba,-80.7015,33.7542
Carya alba,-84.328599,33.768399
Carya alba,-93.817214,33.77595
Carya alba,-89.432604,33.778989
Carya alba,-79.3207,33.7837
Carya alba,-94.9433,33.787
Carya alba,-86.771287,33.790499
Carya alba,-84.371468,33.793011
Carya alba,-82.24235,33.79663
Carya alba,-79.472,33.7977
Carya alba,-84.290017,33.797928
Carya alba,-84.144084,33.798193
Carya alba,-89.73,33.8
Carya alba,-95.684297,33.812142
Carya alba,-80.531463,33.817766
Carya alba,-78.861154,33.818848
Carya alba,-80.815,33.831667
Carya alba,-84.268433,33.839178
Carya alba,-92.483332,33.846524
Carya alba,-84.55584,33.849239
Carya alba,-81.0803,33.8613
Carya alba,-86.42,33.87
Carya alba,-78.64837,33.871131
Carya alba,-83.217002,33.872889
Carya alba,-84.452317,33.87315
Carya alba,-89.292,33.883
Carya alba,-80.469532,33.887827
Carya alba,-83.913922,33.9024
Carya alba,-89.237,33.903
Carya alba,-84.602067,33.911233
Carya alba,-84.448058,33.920055
Carya alba,-91.786497,33.928126
Carya alba,-83.371956,33.92944
Carya alba,-89.917513,33.934069
Carya alba,-90.05667,33.934127
Carya alba,-80.7931,33.9351
Carya alba,-85.344887,33.936263
Carya alba,-88.904095,33.936361
Carya alba,-91.843467,33.942879
Carya alba,-94.705293,33.951687
Carya alba,-91.733433,33.953342
Carya alba,-86.26771,33.954795
Carya alba,-84.383963,33.979208
Carya alba,-85.31,33.98
Carya alba,-93.802921,33.980097
Carya alba,-93.571142,33.980977
Carya alba,-88.520015,33.981037
Carya alba,-89.776009,33.984963
Carya alba,-88.900334,33.987055
Carya alba,-87.860625,33.987689
Carya alba,-80.648205,33.988494
Carya alba,-83.496842,33.989467
Carya alba,-84.326259,33.991236
