species,Longitude,Latitude
Carya ovata,-88.771541,33.432097
Carya ovata,-86.820725,33.444187
Carya ovata,-91.538545,33.445975
Carya ovata,-88.64389,33.451555
Carya ovata,-95.155395,33.472433
Carya ovata,-88.728611,33.510556
Carya ovata,-88.521379,33.511844
Carya ovata,-86.716447,33.520207
Carya ovata,-88.659219,33.552559
Carya ovata,-80.5492,33.5912
Carya ovata,-89.34693,33.62295
Carya ovata,-90.386402,33.640554
Carya ovata,-84.388234,33.642316
Carya ovata,-93.830558,33.647321
Carya ovata,-95.231752,33.661493
Carya ovata,-93.591566,33.667062
Carya ovata,-84.357963,33.675513
Carya ovata,-89.689731,33.68454
Carya ovata,-91.484278,33.697508
Carya ovata,-90.917555,33.698898
Carya ovata,-86.696213,33.703299
Carya ovata,-85.640617,33.71028
Carya ovata,-91.363864,33.735596
Carya ovata,-89.477126,33.74584
Carya ovata,-95.083333,33.75
Carya ovata,-93.960205,33.762572
Carya ovata,-90.695213,33.773193
Carya ovata,-90.495386,33.774993
Carya ovata,-90.356,33.776
Carya ovata,-88.849444,33.786111
Carya ovata,-87.533925,33.792241
Carya ovata,-80.873357,33.794
Carya ovata,-93.811339,33.805137
Carya ovata,-84.307465,33.809063
Carya ovata,-82.139709,33.820377
Carya ovata,-80.822945,33.82928
Carya ovata,-94.118528,33.835395
Carya ovata,-89.311461,33.840883
Carya ovata,-86.565249,33.849469
Carya ovata,-94.222504,33.860443
Carya ovata,-86.86152,33.873192
Carya ovata,-89.139127,33.880283
Carya ovata,-79.4054,33.881
Carya ovata,-89.516102,33.889305
Carya ovata,-88.999227,33.898446
Carya ovata,-89.259,33.912
Carya ovata,-88.935272,33.921971
Carya ovata,-85.75,33.93
Carya ovata,-91.768472,33.9319
Carya ovata,-88.643611,33.933333
Carya ovata,-82.027241,33.936258
Carya ovata,-85.344825,33.93658
Carya ovata,-86.477682,33.961616
Carya ovata,-94.544173,33.971579
Carya ovata,-93.526086,33.979416
Carya ovata,-84.101673,33.979712
Carya ovata,-89.129776,34.008469
Carya ovata,-84.584721,34.035863
Carya ovata,-83.880528,34.04806
Carya ovata,-88.733333,34.066667
Carya ovata,-82.669722,34.083889
Carya ovata,-82.3667,34.0888
Carya ovata,-90.559,34.092
Carya ovata,-90.697057,34.10573
Carya ovata,-84.697883,34.110097
Carya ovata,-90.27492,34.11571
Carya ovata,-82.6,34.133333
Carya ovata,-88.853889,34.144587
Carya ovata,-82.032502,34.158581
Carya ovata,-92.00872,34.17759
Carya ovata,-82.691667,34.180556
Carya ovata,-81.089128,34.2173
Carya ovata,-93.002952,34.223148
Carya ovata,-89.610645,34.224219
Carya ovata,-88.883333,34.233333
Carya ovata,-79.933841,34.240287
Carya ovata,-88.991527,34.242399
Carya ovata,-85.860525,34.263982
Carya ovata,-89.361421,34.264771
Carya ovata,-84.166061,34.267658
Carya ovata,-85.171335,34.286541
Carya ovata,-91.335333,34.289677
Carya ovata,-85.241955,34.325596
Carya ovata,-87.44,34.33
Carya ovata,-85.145554,34.330288
Carya ovata,-89.5493,34.3457
Carya ovata,-86.314298,34.357995
Carya ovata,-89.134444,34.383056
Carya ovata,-86.716514,34.383692
Carya ovata,-85.759696,34.386959
Carya ovata,-86.21952,34.389447
Carya ovata,-92.839017,34.390347
Carya ovata,-89.747398,34.406152
Carya ovata,-87.39,34.41
Carya ovata,-86.186109,34.421526
Carya ovata,-86.597215,34.440926
Carya ovata,-91.042964,34.444426
Carya ovata,-84.984353,34.463905
Carya ovata,-87.148124,34.469005
Carya ovata,-87.299393,34.47583
Carya ovata,-86.37622,34.514464
Carya ovata,-85.600288,34.527926
Carya ovata,-86.590015,34.533744
Carya ovata,-92.695168,34.540646
Carya ovata,-86.93212,34.55906
Carya ovata,-85.614965,34.568973
Carya ovata,-86.77671,34.574347
Carya ovata,-84.939116,34.580193
Carya ovata,-91.120466,34.600034
Carya ovata,-92.62123,34.600158
Carya ovata,-86.729212,34.613287
Carya ovata,-85.088914,34.613389
Carya ovata,-87.804645,34.625498
Carya ovata,-92.835576,34.63611
Carya ovata,-86.501431,34.636737
Carya ovata,-91.664476,34.646139
Carya ovata,-86.554427,34.655998
Carya ovata,-92.941045,34.666323
Carya ovata,-82.821,34.673028
Carya ovata,-86.870686,34.698644
Carya ovata,-92.263787,34.701472
Carya ovata,-86.651313,34.704972
Carya ovata,-86.569278,34.715126
Carya ovata,-86.503136,34.728439
Carya ovata,-90.024077,34.731683
Carya ovata,-86.722186,34.732042
Carya ovata,-94.684338,34.735765
Carya ovata,-92.87324,34.75807
Carya ovata,-90.130726,34.759388
Carya ovata,-87.856371,34.766639
Carya ovata,-95.10605,34.76783
Carya ovata,-86.30465,34.772533
Carya ovata,-81.016604,34.773111
Carya ovata,-85.499533,34.774492
Carya ovata,-86.543623,34.788952
Carya ovata,-92.326676,34.804401
Carya ovata,-86.592605,34.811245
Carya ovata,-92.453712,34.820283
Carya ovata,-86.46962,34.847355
Carya ovata,-85.893822,34.856408
Carya ovata,-85.201248,34.860591
Carya ovata,-85.486092,34.861207
Carya ovata,-80.039528,34.87835
Carya ovata,-92.952513,34.879063
Carya ovata,-92.286714,34.887393
Carya ovata,-93.048972,34.891147
Carya ovata,-86.603592,34.903355
Carya ovata,-84.92118,34.903545
Carya ovata,-94.5525,34.90611
Carya ovata,-85.2424,34.908138
Carya ovata,-89.127471,34.915128
Carya ovata,-80.088136,34.920775
Carya ovata,-85.301012,34.927449
Carya ovata,-88.166658,34.930958
Carya ovata,-88.585,34.932
Carya ovata,-90.789834,34.935616
Carya ovata,-92.414489,34.938501
Carya ovata,-79.864301,34.96407
Carya ovata,-86.088586,34.978608
Carya ovata,-92.00213,34.984386
Carya ovata,-80.304642,34.989028
Carya ovata,-85.184709,34.997858
Carya ovata,-84.867801,34.99839
Carya ovata,-85.363097,35.009208
Carya ovata,-85.014246,35.023116
Carya ovata,-80.972445,35.036106
Carya ovata,-88.501792,35.036125
Carya ovata,-80.799894,35.042752
Carya ovata,-83.459962,35.060968
Carya ovata,-85.028071,35.063577
Carya ovata,-80.073714,35.066547
Carya ovata,-92.49502,35.074175
Carya ovata,-85.118541,35.082244
Carya ovata,-81.021686,35.099165
Carya ovata,-85.037767,35.102908
Carya ovata,-85.176147,35.111408
Carya ovata,-80.026527,35.129058
Carya ovata,-80.766702,35.140535
Carya ovata,-80.535462,35.153809
Carya ovata,-83.384037,35.16023
Carya ovata,-92.577537,35.164247
Carya ovata,-85.944488,35.174095
Carya ovata,-85.116811,35.174361
Carya ovata,-83.213522,35.182669
Carya ovata,-80.842949,35.19165
Carya ovata,-85.904978,35.212859
Carya ovata,-86.262947,35.22435
Carya ovata,-93.20586,35.28654
Carya ovata,-80.478608,35.290938
Carya ovata,-93.146157,35.303189
Carya ovata,-80.729735,35.307813
Carya ovata,-80.644808,35.329933
Carya ovata,-92.233343,35.342786
Carya ovata,-90.261361,35.372698
Carya ovata,-80.928403,35.373114
Carya ovata,-90.804956,35.436104
Carya ovata,-83.544459,35.457314
Carya ovata,-94.7874,35.4604
