species,Longitude,Latitude
Carya glabra,-84.799665,29.890147
Carya glabra,-91.90137,29.89111
Carya glabra,-81.314459,29.893215
Carya glabra,-82.576937,29.915955
Carya glabra,-81.638322,29.941944
Carya glabra,-85.2,29.95
Carya glabra,-82.953583,29.959467
Carya glabra,-84.444634,29.97373
Carya glabra,-81.562064,29.984044
Carya glabra,-81.328705,29.993013
Carya glabra,-81.6833,30
Carya glabra,-93.13679,30.030618
Carya glabra,-83.07025,30.033715
Carya glabra,-81.712817,30.036731
Carya glabra,-81.559662,30.043403
Carya glabra,-83.602581,30.047704
Carya glabra,-81.503472,30.080561
Carya glabra,-81.798294,30.087703
Carya glabra,-84.35419,30.09255
Carya glabra,-83.225961,30.126914
Carya glabra,-81.65,30.13
Carya glabra,-95.810699,30.150158
Carya glabra,-81.708052,30.159425
Carya glabra,-84.403944,30.170565
Carya glabra,-82.6333,30.1833
Carya glabra,-81.633524,30.187523
Carya glabra,-81.3706,30.1927
Carya glabra,-82.99156,30.196062
Carya glabra,-95.784579,30.203054
Carya glabra,-82.621714,30.223616
Carya glabra,-92.01972,30.22389
Carya glabra,-81.52709,30.232039
Carya glabra,-84.3039,30.2322
Carya glabra,-84.883083,30.241138
Carya glabra,-88.11,30.25
Carya glabra,-81.642921,30.265918
Carya glabra,-93.263907,30.3001
Carya glabra,-81.834463,30.303812
Carya glabra,-85.625531,30.305154
Carya glabra,-93.190256,30.307637
Carya glabra,-81.725689,30.319145
Carya glabra,-84.3514,30.3231
Carya glabra,-86.165,30.3298
Carya glabra,-81.655651,30.332184
Carya glabra,-90.922259,30.353456
Carya glabra,-91.1,30.36
Carya glabra,-87.190268,30.360477
Carya glabra,-81.40117,30.360988
Carya glabra,-87.278662,30.364075
Carya glabra,-88.763433,30.369286
Carya glabra,-88.483219,30.369767
Carya glabra,-88.707336,30.374911
Carya glabra,-87.1289,30.3794
Carya glabra,-81.61444,30.381876
Carya glabra,-81.498211,30.382512
Carya glabra,-84.6167,30.3833
Carya glabra,-81.430123,30.39255
Carya glabra,-88.790695,30.394275
Carya glabra,-84.750554,30.40399
Carya glabra,-88.888027,30.413004
Carya glabra,-84.636703,30.413767
Carya glabra,-87.817825,30.413972
Carya glabra,-91.116578,30.415493
Carya glabra,-83.5208,30.4161
Carya glabra,-87.210484,30.42079
Carya glabra,-81.680218,30.425297
Carya glabra,-91.030476,30.427101
Carya glabra,-84.280733,30.438256
Carya glabra,-94.770829,30.440656
Carya glabra,-84.184436,30.441636
Carya glabra,-83.4698,30.443672
Carya glabra,-90.73917,30.447441
Carya glabra,-90.952366,30.450404
Carya glabra,-91.15444,30.45056
Carya glabra,-81.772729,30.450706
Carya glabra,-87.09333,30.45222
Carya glabra,-84.535,30.455278
Carya glabra,-84.4,30.4667
Carya glabra,-86.37222,30.46916
Carya glabra,-83.4129,30.4694
Carya glabra,-83.599085,30.470886
Carya glabra,-88.106094,30.472055
Carya glabra,-86.28113,30.482431
Carya glabra,-91.078042,30.493145
Carya glabra,-86.418239,30.49594
Carya glabra,-82.946571,30.496102
Carya glabra,-89.11083,30.49722
Carya glabra,-84.311613,30.500937
Carya glabra,-90.816447,30.515016
Carya glabra,-86.482172,30.516864
Carya glabra,-84.107103,30.525786
Carya glabra,-81.452025,30.55059
Carya glabra,-91.16111,30.56417
Carya glabra,-84.4167,30.5667
Carya glabra,-84.613534,30.579745
Carya glabra,-84.336275,30.58803
Carya glabra,-83.978648,30.590225
Carya glabra,-91.007278,30.599047
Carya glabra,-85.665236,30.610525
Carya glabra,-95.532742,30.614674
Carya glabra,-92.627471,30.620326
Carya glabra,-81.57761,30.62637
Carya glabra,-81.460856,30.626551
Carya glabra,-87.0397,30.6324
Carya glabra,-84.8,30.63333
Carya glabra,-96.769382,30.646905
Carya glabra,-83.233745,30.650342
Carya glabra,-86.163023,30.659326
Carya glabra,-91.279472,30.690792
Carya glabra,-81.446998,30.693737
Carya glabra,-87.38026,30.706772
Carya glabra,-84.23587,30.73199
Carya glabra,-87.017988,30.733081
Carya glabra,-81.470353,30.748189
Carya glabra,-81.734,30.752167
Carya glabra,-84.679167,30.788056
Carya glabra,-81.955459,30.790716
Carya glabra,-85.215887,30.795806
Carya glabra,-81.449671,30.829268
Carya glabra,-91.5,30.833
Carya glabra,-83.924682,30.83657
Carya glabra,-91.312545,30.837745
Carya glabra,-83.297531,30.843145
Carya glabra,-92.251801,30.858243
Carya glabra,-84.579045,30.87862
Carya glabra,-90.801647,30.892819
Carya glabra,-94.41194,30.893351
Carya glabra,-91.081772,30.899069
Carya glabra,-90.50889,30.93806
Carya glabra,-87.87,30.95
Carya glabra,-91.488931,30.980573
Carya glabra,-88.192978,31.035176
Carya glabra,-91.515,31.068889
Carya glabra,-84.333,31.083
Carya glabra,-91.085554,31.08696
Carya glabra,-92.40028,31.09444
Carya glabra,-92.61608,31.146521
Carya glabra,-81.491489,31.149953
Carya glabra,-88.557799,31.155737
Carya glabra,-81.381487,31.16718
Carya glabra,-91.309249,31.167199
Carya glabra,-83.53919,31.181419
Carya glabra,-84.477998,31.182704
Carya glabra,-86.698003,31.188032
Carya glabra,-91.02167,31.19722
Carya glabra,-81.389843,31.223555
Carya glabra,-85.430153,31.233592
Carya glabra,-81.3396,31.26515
Carya glabra,-91.359557,31.30517
Carya glabra,-95.4216,31.323
Carya glabra,-93.778874,31.340722
Carya glabra,-91.389996,31.360567
Carya glabra,-90.836111,31.360833
Carya glabra,-81.445952,31.393475
Carya glabra,-92.411354,31.410883
Carya glabra,-89.292778,31.425556
Carya glabra,-92.261256,31.436195
Carya glabra,-89.209444,31.447222
Carya glabra,-81.24166,31.4775
Carya glabra,-85.15,31.49
Carya glabra,-86.521389,31.498889
Carya glabra,-97.189147,31.58074
Carya glabra,-85.08,31.6
Carya glabra,-81.829281,31.653548
Carya glabra,-90.1451,31.7091
Carya glabra,-89.02084,31.73631
Carya glabra,-95.150221,31.737952
Carya glabra,-91.317299,31.747869
Carya glabra,-86.359978,31.756122
Carya glabra,-86.605306,31.796389
Carya glabra,-90.084946,31.805912
Carya glabra,-92.295972,31.863777
Carya glabra,-82.050671,31.865518
Carya glabra,-86.030329,31.886114
Carya glabra,-89.97411,31.887366
Carya glabra,-81.06088,31.96923
Carya glabra,-81.16631,31.973565
Carya glabra,-86.98,32
Carya glabra,-91.0317,32.0089
Carya glabra,-81.31558,32.01929
Carya glabra,-93.844404,32.034374
Carya glabra,-84.916038,32.063767
Carya glabra,-82.900699,32.067954
Carya glabra,-89.622778,32.076944
Carya glabra,-81.099834,32.083541
Carya glabra,-92.714409,32.095125
Carya glabra,-86.19,32.1
Carya glabra,-85.568281,32.138131
Carya glabra,-89.424722,32.146667
Carya glabra,-81.1121,32.1585
Carya glabra,-89.279492,32.178098
Carya glabra,-94.966811,32.189879
Carya glabra,-95.1333,32.2
Carya glabra,-93.801738,32.204481
Carya glabra,-95.099726,32.256857
Carya glabra,-93.838576,32.269928
Carya glabra,-80.9275,32.278889
Carya glabra,-84.885244,32.288609
Carya glabra,-88.911,32.3138
Carya glabra,-88.70567,32.325883
Carya glabra,-88.432947,32.326594
Carya glabra,-90.155644,32.327738
Carya glabra,-90.288178,32.338805
Carya glabra,-81.467,32.3427
Carya glabra,-89.471944,32.347778
Carya glabra,-86.284462,32.34975
Carya glabra,-88.661987,32.356529
Carya glabra,-86.18142,32.367978
Carya glabra,-92.440342,32.370571
Carya glabra,-90.159722,32.371389
Carya glabra,-84.95183,32.37444
Carya glabra,-92.916667,32.383333
Carya glabra,-85.245413,32.391363
Carya glabra,-83.469211,32.419492
Carya glabra,-83.405831,32.431608
Carya glabra,-83.510139,32.457075
Carya glabra,-89.750075,32.468116
Carya glabra,-95.297519,32.476089
Carya glabra,-83.547836,32.487753
Carya glabra,-83.48595,32.502128
Carya glabra,-94.793622,32.526893
Carya glabra,-92.625757,32.533466
Carya glabra,-85.472153,32.581262
Carya glabra,-80.200556,32.585833
Carya glabra,-90.062806,32.608084
Carya glabra,-85.646317,32.68734
Carya glabra,-94.179076,32.6907
Carya glabra,-87.242831,32.696671
Carya glabra,-93.753995,32.712457
Carya glabra,-94.666088,32.737679
Carya glabra,-88.473093,32.760267
Carya glabra,-84.515482,32.765454
Carya glabra,-90.74362,32.793448
Carya glabra,-97.200556,32.812222
Carya glabra,-79.840174,32.837027
Carya glabra,-83.603827,32.84254
Carya glabra,-80.392333,32.842562
Carya glabra,-83.770794,32.862108
Carya glabra,-85.931098,32.87128
Carya glabra,-79.80797,32.891063
Carya glabra,-83.71131,32.897893
Carya glabra,-87.44052,32.913998
Carya glabra,-88.924464,32.921375
Carya glabra,-94.071537,32.94458
Carya glabra,-87.409632,32.964602
Carya glabra,-97.176961,32.9655
Carya glabra,-84.540981,32.970397
Carya glabra,-79.777,32.9715
Carya glabra,-80.191692,32.98376
Carya glabra,-85.730583,32.986538
Carya glabra,-95.468538,32.993378
Carya glabra,-86.808984,33.019565
Carya glabra,-94.659292,33.029122
Carya glabra,-92.689102,33.072304
Carya glabra,-83.232099,33.080143
Carya glabra,-79.778462,33.082547
Carya glabra,-86.4638,33.101147
Carya glabra,-85.36753,33.102567
Carya glabra,-89.22655,33.11966
Carya glabra,-94.916077,33.120698
Carya glabra,-79.7912,33.1707
Carya glabra,-83.774367,33.1908
Carya glabra,-86.43,33.2
Carya glabra,-89.100055,33.205417
Carya glabra,-88.912588,33.229255
Carya glabra,-91.258109,33.235972
Carya glabra,-87.461735,33.244829
Carya glabra,-90.368761,33.24633
Carya glabra,-81.547643,33.248888
Carya glabra,-83.684767,33.2516
Carya glabra,-79.9784,33.255583
Carya glabra,-91.725691,33.259847
Carya glabra,-83.485,33.26
Carya glabra,-86.216125,33.260472
Carya glabra,-92.597662,33.268476
Carya glabra,-86.08567,33.2748
Carya glabra,-84.440022,33.276269
Carya glabra,-88.896858,33.276495
Carya glabra,-88.793267,33.277237
Carya glabra,-87.4,33.28
Carya glabra,-87.01357,33.286362
Carya glabra,-84.809495,33.295639
Carya glabra,-91.973845,33.306482
Carya glabra,-89.17278,33.31
Carya glabra,-92.519276,33.311033
Carya glabra,-86.769453,33.313882
Carya glabra,-86.658857,33.320345
Carya glabra,-81.651407,33.345547
Carya glabra,-85.494269,33.357794
Carya glabra,-90.028611,33.376667
Carya glabra,-86.619685,33.376797
Carya glabra,-86.847092,33.380739
Carya glabra,-90.249979,33.383642
Carya glabra,-89.0555,33.3841
