Scientific,Longitude,Latitude,LocalityNa,Source
Carya sinensis,108.387889,25.411817,广西 环江县拉免乡拉免东南,野外采集
Carya sinensis,109.003572,25.117958,广西 罗城县龙岸镇小蒙村东北,野外采集
Carya sinensis,109.444186,25.648575,广西 三江县老堡乡甲达村东南,野外采集
Carya sinensis,109.826875,25.622442,广西 龙胜县三门镇立新村,野外采集
Carya sinensis,110.025053,24.821978,广西 永福县堡里乡堡里村西,野外采集
Carya sinensis,107.401081,24.201433,广西 巴马县凤凰乡德纳村,野外采集
Carya sinensis,106.600478,24.304036,广西 凌云县宾居镇龙西村,野外采集
Carya sinensis,105.6877362,23.66070151,云南 富宁洞甫村南,野外采集
Carya sinensis,104.012828,22.497669,云南省河口南溪镇龙堡村中央坪,野外采集
Carya sinensis,110.305564,25.076072,广西省雁山区雁山镇桂林植物园,野外采集
Carya sinensis,105.742011,23.511028,云南省富宁新华村各里,野外采集
Carya sinensis,105.4582043,19.58638127,Thanh Hoa province Ben En NP,野外采集
Carya sinensis,107.2447222,20.96777778,Hai Phong province Cat Ba NP,野外采集
Carya sinensis,105.7184917,20.23860833,Ninh Binh province Cuc Phuong NP,野外采集
Carya sinensis,107.076622,22.268947,广西壮族自治区 龙州县  弄岗保护区陇山片区 （陇塘）,野外采集
Carya sinensis,109.6625,25.875,通道县甘溪乡恩戈村位,Jihua et al. (2016)
Carya sinensis,105.6018946,23.8119151,"Gelicun, 戈里村, Funing County, Yunnan, Wenshan Zhuang and Miao Autonomous Prefecture, Yunnan, China",Guangying et al. (2007)
