species,Longitude,Latitude
Carya laciniosa,-82.015454,39.336208
Carya laciniosa,-95.40407,39.34094
Carya laciniosa,-82.276917,39.348817
Carya laciniosa,-93.0531,39.3883
Carya laciniosa,-78.90083,39.393392
Carya laciniosa,-84.100905,39.398113
Carya laciniosa,-82.225883,39.4016
Carya laciniosa,-84.066984,39.481234
Carya laciniosa,-92.67277,39.49416
Carya laciniosa,-84.75,39.5
Carya laciniosa,-78.76863,39.503146
Carya laciniosa,-85.98333,39.516666
Carya laciniosa,-82.079618,39.548117
Carya laciniosa,-84.746497,39.581366
Carya laciniosa,-93.230639,39.582861
Carya laciniosa,-84.096792,39.621486
Carya laciniosa,-79.955897,39.629526
Carya laciniosa,-92.492778,39.715833
Carya laciniosa,-89.715507,39.719802
Carya laciniosa,-79.992263,39.744343
Carya laciniosa,-86.000342,39.795944
Carya laciniosa,-84.88833,39.80055
Carya laciniosa,-86.937169,39.822497
Carya laciniosa,-77.903332,39.82787
Carya laciniosa,-77.804505,39.856925
Carya laciniosa,-89.615117,39.871156
Carya laciniosa,-86.983899,39.872872
Carya laciniosa,-77.90062,39.923844
Carya laciniosa,-76.068841,39.926215
Carya laciniosa,-78.563254,39.956296
Carya laciniosa,-83.248292,39.972995
Carya laciniosa,-77.958082,39.977758
Carya laciniosa,-88.66102,39.988778
Carya laciniosa,-86.874452,40.041154
Carya laciniosa,-84.535362,40.072267
Carya laciniosa,-88.239628,40.093587
Carya laciniosa,-83.084457,40.100044
Carya laciniosa,-78.558769,40.101246
Carya laciniosa,-88.212983,40.12706
Carya laciniosa,-76.432714,40.149951
Carya laciniosa,-86.551945,40.172258
Carya laciniosa,-75.790758,40.188985
Carya laciniosa,-93.376389,40.200556
Carya laciniosa,-85.417431,40.215829
Carya laciniosa,-77.239118,40.21746
Carya laciniosa,-79.410314,40.253404
Carya laciniosa,-77.018165,40.259334
Carya laciniosa,-76.24146,40.28066
Carya laciniosa,-75.546767,40.290497
Carya laciniosa,-92.95972,40.33388
Carya laciniosa,-75.738568,40.342
Carya laciniosa,-75.315657,40.345794
Carya laciniosa,-75.753013,40.383771
Carya laciniosa,-75.418403,40.38573
Carya laciniosa,-88.227468,40.388452
Carya laciniosa,-75.127223,40.434604
Carya laciniosa,-75.329622,40.437585
Carya laciniosa,-80.366667,40.45
Carya laciniosa,-75.213651,40.472537
Carya laciniosa,-77.993892,40.491523
Carya laciniosa,-75.885216,40.506033
Carya laciniosa,-73.954376,40.598335
Carya laciniosa,-78.543396,40.665904
Carya laciniosa,-75.842041,40.681173
Carya laciniosa,-84.581,40.682
Carya laciniosa,-92.87382,40.729057
Carya laciniosa,-82.406835,40.808229
Carya laciniosa,-92.815196,40.825632
Carya laciniosa,-73.877114,40.856459
Carya laciniosa,-91.034691,40.887861
Carya laciniosa,-90.954795,40.939921
Carya laciniosa,-76.85114,40.957469
Carya laciniosa,-76.803622,40.974557
Carya laciniosa,-83.563955,41.032011
Carya laciniosa,-80.743496,41.09405
Carya laciniosa,-81.471495,41.145234
Carya laciniosa,-81.368235,41.164915
Carya laciniosa,-73.6175,41.1774
Carya laciniosa,-81.577606,41.188731
Carya laciniosa,-80.91601,41.23838
Carya laciniosa,-73.927047,41.271731
Carya laciniosa,-80.723778,41.278759
Carya laciniosa,-84.433207,41.347677
Carya laciniosa,-81.289615,41.365869
Carya laciniosa,-80.57065,41.41433
Carya laciniosa,-82.318923,41.419374
Carya laciniosa,-81.879238,41.585025
Carya laciniosa,-75.04,41.61
Carya laciniosa,-87.529487,41.615591
Carya laciniosa,-86.971455,41.625032
Carya laciniosa,-84.60202,41.70271
Carya laciniosa,-81.231242,41.720588
Carya laciniosa,-82.6833,41.7333
Carya laciniosa,-88.08899,41.734666
Carya laciniosa,-84.17667,41.7875
Carya laciniosa,-83.83984,41.805331
Carya laciniosa,-86.65,41.85
Carya laciniosa,-83.65588,41.95674
Carya laciniosa,-83.22816,42.01022
Carya laciniosa,-83.337506,42.011483
Carya laciniosa,-87.706449,42.041878
Carya laciniosa,-85.030456,42.051153
Carya laciniosa,-82.866123,42.057102
Carya laciniosa,-87.766256,42.061929
Carya laciniosa,-83.25123,42.068244
Carya laciniosa,-85.50875,42.07948
Carya laciniosa,-82.926554,42.085993
Carya laciniosa,-89.378274,42.086693
Carya laciniosa,-87.688287,42.125695
Carya laciniosa,-83.380582,42.127277
Carya laciniosa,-82.818213,42.160011
Carya laciniosa,-82.498397,42.181478
Carya laciniosa,-83.36462,42.20149
Carya laciniosa,-83.719287,42.210525
Carya laciniosa,-82.78827,42.212517
Carya laciniosa,-83.131884,42.220069
Carya laciniosa,-83.22669,42.22216
Carya laciniosa,-82.839666,42.254062
Carya laciniosa,-83.07023,42.259822
Carya laciniosa,-82.983192,42.267591
Carya laciniosa,-82.721159,42.274805
Carya laciniosa,-81.853866,42.303702
Carya laciniosa,-82.904627,42.322652
Carya laciniosa,-73.391257,42.333147
Carya laciniosa,-82.980473,42.340038
Carya laciniosa,-82.669931,42.367859
Carya laciniosa,-84.18429,42.37998
Carya laciniosa,-82.611014,42.390977
Carya laciniosa,-82.525526,42.398304
Carya laciniosa,-93.383177,42.45051
Carya laciniosa,-82.496723,42.525335
Carya laciniosa,-83.15831,42.56947
